uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
MG,Muriae,Faculdade Santa Marcelina Muriaé - Fasm - FASM,CAMPUS  - MURIAÉ - CENTRO - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,580.00,2,2,,,628.54,582.14,,
MG,Muriae,Universidade Paulista - UNIP,MURIAÉ - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,319.00,1,,,,554.18,,,
MG,Ouro Preto,Centro Universitário Internacional - Uninter - UNINTER,PAP OURO PRETO - Cabeças,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,1,,,,619.74,,,
MG,Para de Minas,Centro Universitário de Maringá - Unicesumar - Unicesumar - UNICESUMAR,PARÁ DE MINAS - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,393.35,1,,,,551.06,,,
MG,Pirapora,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - PIRAPORA - Bom Jesus,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,571.12,,,
MG,Pouso Alegre,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - POUSO ALEGRE - Nova Pouso Alegre,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,450.00,,,
MG,Pouso Alegre,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD POUSO ALEGRE - MG - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,360.00,1,,,,570.86,,,
MG,Pouso Alegre,Universidade Paulista - UNIP,POUSO ALEGRE - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,299.00,1,,,,450.00,,,
MG,Santa Luzia,Universidade Pitágoras Unopar,SANTA LUZIA/MG (4046) - São Benedito,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,229.00,1,,,,605.94,,,
MG,Santa Rita do Sapucai,Centro Universitário Internacional - Uninter - UNINTER,PAP SANTA RITA DO SAPUCAÍ - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,450.00,
MG,Sao Lourenco,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO LOURENÇO - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,1,,1,,526.08,,622.42,
MG,Sao Lourenco,Universidade Braz Cubas - UBC,SÃO LOURENÇO - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,269.00,1,,,,450.00,,,
MG,Sete Lagoas,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - SETE LAGOAS - Jardim Arizona,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,624.68,,,
MG,Sete Lagoas,Centro Universitário Internacional - Uninter - UNINTER,PAP SETE LAGOAS - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,573.80,
MG,Tres Marias,Faculdade Educacional da Lapa - FAEL,MG - TRÊS MARIAS - POLO EAD - Joaquim de Lima,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,450.00,
MG,Uberaba,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - UBERABA - Nossa Senhora da Abadia,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,514.10,,,
MG,Uberaba,Centro Universitário Internacional - Uninter - UNINTER,PAP UBERABA - Estados Unidos,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,616.34,
MG,Uberaba,Universidade Paulista - UNIP,UBERABA - Mercês,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,289.00,1,,,,510.42,,,
MG,Uberlandia,Centro Universitário Internacional - Uninter - UNINTER,PAP UBERLÂNDIA - Nossa Senhora Aparecida,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,544.16,
MG,Uberlandia,Faculdade Educacional da Lapa - FAEL,MG - UBERLÂNDIA - POLO EAD - CENTRO,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,450.00,
MG,Uberlandia,Faculdade Presidente Antônio Carlos de Uberlândia,UNIDADE DELTA - Martins,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,504.00,2,2,,15,604.12,582.78,530.30,
MG,Uberlandia,Universidade Paulista - UNIP,UBERLANDIA I - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,329.00,1,1,,,586.74,581.30,,
MG,Uberlandia,Universidade Pitágoras Unopar,UBERLANDIA/MG (3232) - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,299.00,1,1,,,620.86,603.66,,
MG,Unai,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - UNAÍ - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,577.38,,,
MG,Varginha,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - VARGINHA - Vila Bueno,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,542.96,,,
MG,Varginha,Centro Universitário do Sul de Minas - Unis-Mg - UNIS-MG,UNIS - CAMPUS I - Vila Pinto,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,656.88,1,,1,1,619.60,,587.44,557.18
MG,Varginha,Centro Universitário Internacional - Uninter - UNINTER,PAP VARGINHA - Vila Pinto,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,523.40,
MG,Varginha,Faculdade Cnec Varginha,FACULDADE CENECISTA DE VARGINHA - Vila Bueno,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,945.72,1,1,,,626.00,615.44,,
MG,Varginha,Faculdade Educacional da Lapa - FAEL,MG - VARGINHA - POLO EAD - Jardim Morada do Sol,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,486.54,
MG,Vicosa,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD VIÇOSA - MG - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,360.00,1,,,,609.42,,,
MS,Antonio Joao,Centro Universitário da Grande Dourados - Unigran - UNIGRAN,ANTONIO JOÃO - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,250.00,,,1,,,,450.00,
MS,Bodoquena,Faculdade Educacional da Lapa - FAEL,MS - BODOQUENA - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,450.00,
MS,Campo Grande,Centro Universitário da Grande Dourados - Unigran - UNIGRAN,CAMPO GRANDE - Monte Castelo,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,250.00,1,1,1,1,599.40,592.90,590.96,525.42
MS,Campo Grande,Centro Universitário de Maringá - Unicesumar - Unicesumar - UNICESUMAR,CAMPO GRANDE - Jardim dos Estados,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,393.35,1,,,,583.58,,,
MS,Campo Grande,Centro Universitário Internacional - Uninter - UNINTER,PAP CAMPO GRANDE 01 - Amambaí,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,266.00,1,,,,468.36,,,
MS,Campo Grande,Faculdade Educacional da Lapa - FAEL,MS - CAMPO GRANDE - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,450.00,
MS,Campo Grande,Universidade Católica Dom Bosco - UCDB,CAMPO GRANDE - Jardim Seminário,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,896.40,1,1,,,610.04,575.06,,
MS,Campo Grande,Universidade Paulista - UNIP,CAMPO GRANDE I - Amambaí,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,329.00,1,,,,493.80,,,
MS,Corumba,Centro Universitário da Grande Dourados - Unigran - UNIGRAN,CORUMBA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,250.00,,,1,,,,552.56,
MS,Dourados,Faculdade Educacional da Lapa - FAEL,MS - DOURADOS - POLO EAD - Vila Progresso,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,515.40,
MS,Dourados,Universidade Paulista - UNIP,DOURADOS - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,289.00,1,,,,534.12,,,
MS,Jatei,Centro Universitário da Grande Dourados - Unigran - UNIGRAN,JATEI - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,250.00,,,1,,,,450.00,
MS,Ponta Pora,Centro Universitário da Grande Dourados - Unigran - UNIGRAN,PONTA PORA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,250.00,,,1,,,,522.96,
MS,Tres Lagoas,Centro Universitário Internacional - Uninter - UNINTER,PAP TRÊS LAGOAS - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,554.24,
MS,Tres Lagoas,Faculdades Integradas de Três Lagoas - AEMS,FACULDADES INTEGRADAS DE TRES LAGOAS - AEMS - Distrito Industrial,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,960.00,,,1,,,,536.74,
MT,Alta Floresta,Centro Universitário da Grande Dourados - Unigran - UNIGRAN,ALTA FLORESTA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,250.00,,,1,1,,,509.50,450.00
MT,Alta Floresta,Centro Universitário Leonardo da VInci - UNIASSELVI,POLO DE APOIO PRESENCIAL DE ALTA FLORESTA/MT - Cidade Alta,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,213.00,1,,,,540.42,,,
MT,Caceres,Faculdade Educacional da Lapa - FAEL,MT - CÁCERES - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,558.62,
MT,Colniza,Faculdade Educacional da Lapa - FAEL,MT - COLNIZA - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,528.58,
MT,Cuiaba,Centro Universitário da Grande Dourados - Unigran - UNIGRAN,CUIABA - Areão,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,250.00,,,1,,,,516.24,
MT,Cuiaba,Centro Universitário Internacional - Uninter - UNINTER,PAP CUIABÁ - Centro Norte,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,580.06,
MT,Cuiaba,Faculdade Educacional da Lapa - FAEL,MT - CUIABÁ - POLO EAD - Centro Sul,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,546.40,
MT,Cuiaba,Faculdade Fasipe Mato Grosso - FFMT,UNIDADE SEDE - Jardim Petrópolis,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,1117.90,,,2,1,,,571.82,535.60
MT,Cuiaba,Universidade Cidade de São Paulo - UNICID,CEAD CUIABÁ - Centro Norte,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,270.28,1,,1,1,562.06,,582.76,547.72
MT,Cuiaba,Universidade Paulista - UNIP,CUIABA II - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,289.00,1,,,,536.94,,,
MT,Cuiaba,Universidade Paulista - UNIP,CUIABA I - Santa Marta,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,289.00,1,,,,558.08,,,
MT,Juina,Faculdade Educacional da Lapa - FAEL,MT - JUÍNA - POLO EAD - Modulo 4,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,513.82,
MT,Juina,Universidade Paulista - UNIP,JUINA - Módulo 2,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,289.00,1,,,,615.06,,,
MT,Juruena,Faculdade Educacional da Lapa - FAEL,MT - JURUENA - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,450.00,
MT,Lucas do Rio Verde,Centro Universitário da Grande Dourados - Unigran - UNIGRAN,LUCAS DO RIO VERDE - Jardim Palmeira,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,250.00,,,1,,,,450.00,
MT,Lucas do Rio Verde,Centro Universitário Internacional - Uninter - UNINTER,PAP LUCAS DO RIO VERDE - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,1,,,,494.44,,,
MT,Lucas do Rio Verde,Faculdade Educacional da Lapa - FAEL,MT - LUCAS DO RIO VERDE - POLO EAD - Alvorada,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,489.80,
MT,Nova Mutum,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - NOVA MUTUM - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,479.96,,,
MT,Nova Mutum,Centro Universitário Internacional - Uninter - UNINTER,PAP NOVA MUTUM - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,1,,,466.80,450.00
MT,Nova Mutum,Universidade Paulista - UNIP,NOVA MUTUM - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,279.00,1,,,,450.00,,,
MT,Pontes e Lacerda,Faculdade Educacional da Lapa - FAEL,MT - PONTES E LACERDA - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,519.10,
MT,Porto Alegre do Norte,Universidade Pitágoras Unopar,PORTO ALEGRE DO NORTE/MT (2007025) - Loteamento Santos Dumont,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,279.00,1,,,,558.86,,,
MT,Primavera do Leste,Faculdade Educacional da Lapa - FAEL,MT - PRIMAVERA DO LESTE - POLO EAD - Castelândia,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,561.78,
MT,Rondonopolis,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - RONDONÓPOLIS - Vila Aurora I,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,507.48,,,
MT,Rondonopolis,Centro Universitário de Maringá - Unicesumar - Unicesumar - UNICESUMAR,RONDONÓPOLIS - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,393.35,1,1,,,558.90,510.52,,
MT,Sapezal,Universidade Pitágoras Unopar,SAPEZAL/MT (3747) - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,279.00,1,,,,524.30,,,
MT,Sinop,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - SINOP - Jardim Botânico,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,575.16,,,
MT,Sinop,Centro Universitário Internacional - Uninter - UNINTER,PAP SINOP - CENTRO,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,266.00,,,1,,,,523.28,
MT,Sinop,Faculdade Educacional da Lapa - FAEL,MT - SINOP - POLO EAD - Setor Comercial,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,450.00,
MT,Sinop,Faculdade Fasipe - FASIPE,CAMPUS  - SINOP - RESIDENCIAL FLORENCIA - Residencial Florencia,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,1117.90,,,2,1,,,543.14,577.14
MT,Sorriso,Centro Universitário Internacional - Uninter - UNINTER,PAP SORRISO - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,450.00,
MT,Tangara da Serra,Centro Universitário da Grande Dourados - Unigran - UNIGRAN,TANGARA DAS SERRA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,250.00,,,1,,,,533.06,
MT,Tangara da Serra,Universidade Paulista - UNIP,TANGARA DA SERRA - Jd. do Lago,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,289.00,1,,,,572.48,,,
MT,Varzea Grande,Universidade Paulista - UNIP,VARZEA GRANDE - Nova Varzea Grande,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,289.00,1,,,,621.76,,,
MT,Varzea Grande,Universidade Pitágoras Unopar,VARZEA GRANDE/MT (24161) - Água Vermelha,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,229.00,1,,,,548.74,,,
PA,Almeirim,Centro Universitário Internacional - Uninter - UNINTER,PAP MONTE DOURADO - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,1,,,,560.90,,,
PA,Altamira,Centro Universitário Internacional - Uninter - UNINTER,PAP ALTAMIRA 01 - Sudam I,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,2,,,,598.98,
PA,Ananindeua,Centro Universitário Leonardo da VInci - UNIASSELVI,POLO DE APOIO PRESENCIAL DE ANANINDEUA/PA - Coqueiro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,224.00,2,,,,551.88,,,
PA,Ananindeua,Universidade Paulista - UNIP,ANANINDEUA - Coqueiro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,289.00,1,,,,547.96,,,
PA,Belem,Centro Universitário Internacional - Uninter - UNINTER,PAP BELÉM - Nazaré,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,1,,,,682.44,,,
PA,Belem,Faculdade Educacional da Lapa - FAEL,PA - BELÉM - POLO EAD - Bairro Marco,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,560.12,
PA,Belem,Faculdade Ideal - FACI,UNIDADE - FACI - TUPINAMBÁS - BATISTA CAMPOS,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,920.50,,,,17,,,533.40,
PA,Belem,Universidade Anhanguera - UNIDERP,BELEM/PA II(2008502) - Batista Campos,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,259.00,2,,,,558.48,,,
PA,Belem,Universidade Cidade de São Paulo - UNICID,INSTITUTO ALFA E ÔMEGA - Coqueiro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,270.28,2,,2,1,529.10,,554.26,536.18
PA,Belem,Universidade da Amazônia - UNAMA,UNAMA - CAMPUS SEDE - Umarizal,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,699.00,9,3,,,634.30,611.32,,
PA,Belem,Universidade Paulista - UNIP,BELEM I - Castanheira,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,229.00,5,2,,,587.84,570.34,,
PA,Belem,Universidade Paulista - UNIP,BELEM III - Nazaré,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,279.00,1,,,,558.58,,,
PA,Braganca,Centro Universitário Internacional - Uninter - UNINTER,PAP BRAGANÇA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,566.78,
PA,Cameta,Centro Universitário Internacional - Uninter - UNINTER,PAP CAMETÁ - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,266.00,,,1,,,,576.76,
PA,Capanema,Centro Universitário Internacional - Uninter - UNINTER,PAP CAPANEMA - MONTE DOURADO - São Pio x,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,266.00,1,,,,647.48,,,
PA,Capanema,Faculdade Educacional da Lapa - FAEL,PA - CAPANEMA - POLO EAD - São Pio X,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,520.60,
PA,Capitao Poco,Faculdade Educacional da Lapa - FAEL,PA - CAPITÃO POÇO - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,528.02,
PA,Castanhal,Centro Universitário Internacional - Uninter - UNINTER,PAP CASTANHAL - Nova Olinda,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,575.24,
PA,Castanhal,Faculdade Estácio de Castanhal - ESTÁCIO CASTANHAL,CASTANHAL - Apeú,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,741.43,4,1,,,602.22,600.02,,
PA,Castanhal,Universidade Pitágoras Unopar,CASTANHAL/PA (5728) - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,339.00,2,1,,,639.90,585.02,,
PA,Itaituba,Centro Universitário Internacional - Uninter - UNINTER,PAP ITAITUBA - Aeroporto Velho,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,500.42,
PA,Itaituba,Faculdade Educacional da Lapa - FAEL,PA - ITAITUBA - POLO EAD - Liberdade,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,1,,,,634.44,,,
PA,Maraba,Centro Universitário Internacional - Uninter - UNINTER,PAP MARABÁ - Novo Horizonte,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,534.66,
PA,Maraba,Centro Universitário Leonardo da VInci - UNIASSELVI,POLO  DE  APOIO PRESENCIAL DE MARABÁ/PA - Nova Marabá,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,293.00,3,1,,,588.98,579.56,,
PA,Maraba,Faculdade Educacional da Lapa - FAEL,PA - MARABÁ - POLO EAD - Nova Marabá,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,1,,2,,552.68,,508.06,
PA,Maraba,Universidade Pitágoras Unopar,MARABA/PA (3995) - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,249.00,2,1,,,593.44,574.34,,
PA,Paragominas,Centro Universitário Internacional - Uninter - UNINTER,PAP PARAGOMINAS - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,1,,,,564.42,,,
PA,Parauapebas,Centro Universitário Internacional - Uninter - UNINTER,PAP PARAUAPEBAS - Cidade Nova,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,1,,,,616.78,,,
PA,Parauapebas,Faculdade Educacional da Lapa - FAEL,PA - PARAUAPEBAS - POLO EAD - CIDADE NOVA,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,661.20,
PA,Parauapebas,Universidade Pitágoras Unopar,PARAUAPEBAS/PA (1051582) - Bairro da Paz,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,249.00,2,1,,,627.26,594.54,,
PA,Redencao,Centro Universitário Internacional - Uninter - UNINTER,PAP REDENÇÃO - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,1,,1,,570.34,,499.58,
PA,Redencao,Faculdade Educacional da Lapa - FAEL,PA - REDENÇÃO - POLO EAD - Alto Paraná,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,499.22,
PA,Redencao,Universidade Pitágoras Unopar,REDENCAO/PA (1051591) - Alto Paraná,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,229.00,1,,,,570.48,,,
PA,Rondon do Para,Centro Universitário Internacional - Uninter - UNINTER,PAP RONDON DO PARÁ - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,540.22,
PA,Santarem,Centro Universitário Internacional - Uninter - UNINTER,PAP SANTARÉM - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,594.16,
PA,Santarem,Faculdade Educacional da Lapa - FAEL,PA - SANTARÉM - POLO EAD - Laguinho,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,559.80,
PA,Tucurui,Centro Universitário Internacional - Uninter - UNINTER,PAP TUCURUÍ - COHAB,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,526.34,
PA,Tucurui,Faculdade Educacional da Lapa - FAEL,PA - TUCURUÍ - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,484.98,
PA,Tucurui,Universidade Pitágoras Unopar,TUCURUI/PA (1051620) - Santa Mônica,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,219.00,3,1,,,652.42,557.00,,
PB,Cajazeiras,Universidade Paulista - UNIP,CAJAZEIRAS - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,299.00,1,,,,598.50,,,
PB,Campina Grande,Faculdade Uninassau Campina Grande,CATOLÉ - Catolé,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,558.87,1,1,,,621.96,618.84,,
PB,Joao Pessoa,Centro Universitário de Maringá - Unicesumar - Unicesumar - UNICESUMAR,JOÃO PESSOA - Tambauzinho,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,286.02,1,,,,566.18,,,
PB,Joao Pessoa,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD JOÃO PESSOA - BANCÁRIOS - PB - Tambaú,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,388.57,1,,,,595.18,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,531.08,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 02 - Expedicionários,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,504.82,
PB,Joao Pessoa,Faculdade Estácio da Paraíba - ESTÁCIO PARAÍBA,JOÃO PESSOA-IDEZ - Manaíra,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,570.00,3,2,,,609.52,587.24,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,552.28,2,2,,,604.88,575.10,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,269.92,1,,,,636.36,,,
PB,Joao Pessoa,Universidade Paulista - UNIP,JOAO PESSOA II - Tambauzinho,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,289.00,1,,,,607.44,,,
PB,Sousa,Universidade Paulista - UNIP,SOUSA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,289.00,1,,,,592.98,,,
PE,Afogados da Ingazeira,Universidade Paulista - UNIP,AFOGADOS DA INGAZEIRA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,279.00,1,1,,,580.32,611.82,,
PE,Arcoverde,Faculdade Educacional da Lapa - FAEL,PE - ARCOVERDE - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,535.76,
PE,Caruaru,Centro Universitário do Vale do Ipojuca - Unifavip - UNIFAVIP,UNIFAVIP - Indianópolis,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,939.46,,,,50,,,514.78,
